videoId;author;text;publishedAt;likeCount;search_keyword;video_title;;;;
Th_G-abA5sw;@yepridasril5036;Tergantung skill aja ... Ini mah namanya ngejatuhin merk mobil tertentu;2024-12-23T10:33:26Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@jeffsetyawan_;"Wkwk ga gitu juga kali. Pinter"" nya jokinya aja 😅";2024-12-22T11:10:12Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@arizalrevo9544;Di tol Justru kencengan LCGC drpada Inova itu;2024-12-22T07:03:19Z;1;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@riqzyourking3277;Selama pakai lcgc gapernah ngedorong tu mobil . Mesinnya bagus2 aja. Aneh2 aja org ngejelekin unit tp gatau performa nya 😂.  Gua travel Kalimantan bro.  Unit jalan offroad dll udh gua rasain dan aman aja lcgc gk sampe di dorong begitu.  Kalian aja yg kurang profesional;2024-12-22T03:33:17Z;3;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@gtwgwmah;あなたは私をからかっているのよ、兄弟;2024-12-21T03:27:46Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@richireach;avanza gen 2 saya : hhmmm rookie;2024-12-20T06:03:31Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@AnakRantau-n3g;Nggak gitu juga om. Tanjangan kecil gitu, pake speda juga naik😅;2024-12-17T04:01:15Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@kaptenolengmoba7711;"Aku bawa calya dengan 7 penumpang menanjak biasa ajh Gk perlu di dorong"" kaya di video";2024-12-17T03:08:33Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@MuhammadRidwan-nx9zt;jaman sekarang yg masih RWD murah apa ada selain Toyota Rush?;2024-12-17T02:04:21Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@GioGarcia-s9v;innova vs whatever car that is😑;2024-12-17T01:34:15Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
